tsne_1,tsne_2,cluster_gmm,pivote3,pivote5,pivote10,pivote15,estado_oculto
6.27299014013261e-05,1.49997049447848e-05,0,0.0000,0.0000,0.0000,0.0000,0
1.47840546560474e-05,4.85446180391591e-05,0,0.0000,0.0000,0.0000,0.0000,0
3.53302566509228e-05,5.54222242499236e-05,0,0.0000,0.0000,0.0000,0.0000,0
2.05739579541842e-05,4.29721039836295e-05,0,0.0000,0.0000,0.0000,0.0000,0
1.04142854979727e-05,3.29212234646548e-05,0,0.0000,0.0000,0.0000,0.0000,0
5.49754149687942e-05,2.64356767729623e-05,0,0.0000,0.0000,0.0000,0.0000,0
3.55231786670629e-05,2.29593342737644e-06,0,0.0000,0.0000,0.0000,0.0000,0
4.40048497694079e-05,5.23152702953666e-05,0,0.0000,0.0000,0.0000,0.0000,0
2.26452648348641e-05,3.43214924214408e-05,0,0.0000,0.0000,0.0000,0.0000,0
2.28533408517251e-05,3.32843046635389e-05,0,0.0000,0.0000,0.0000,0.0000,0
-3.60546218871605e-05,7.41035501050646e-06,0,0.0000,0.0000,0.0000,0.0000,0
6.41320875729434e-05,-2.35632487601833e-05,0,0.0000,0.0000,0.0000,0.0000,0
5.24777278769761e-05,-3.5948287404608e-05,0,0.0000,0.0000,0.0000,0.0000,0
4.97737801197218e-06,2.92048480332596e-05,0,0.0000,0.0000,0.0000,0.0000,0
4.64162876596674e-05,-1.65726250997977e-05,0,0.0000,0.0000,0.0000,0.0000,0
4.84987067466136e-05,-2.78729112324072e-05,0,0.0000,0.0000,0.0000,0.0000,0
6.36257173027843e-05,-1.96070413949201e-05,0,0.0000,0.0000,0.0000,0.0000,0
4.71567727799993e-05,-2.45134688157123e-05,0,0.0000,0.0000,0.0000,0.0000,0
4.36482005170546e-05,-2.82294622593326e-05,0,0.0000,0.0000,0.0000,0.0000,0
4.96419415867422e-05,-1.70706643984886e-05,0,0.0000,0.0000,0.0000,0.0000,0
5.0448979891371e-05,-3.15684374072589e-05,0,0.0000,0.0000,0.0000,0.0000,0
4.10096572522889e-06,4.5377168135019e-05,0,0.0000,0.0000,0.0000,0.0000,0
1.11643967102282e-05,3.31329902110156e-05,0,0.0000,0.0000,0.0000,0.0000,0
1.80742256361555e-06,1.609485661902e-05,0,0.0000,0.0000,0.0000,0.0667,0
3.33278421749128e-06,3.45025437127333e-05,0,0.0000,0.0000,0.0000,0.0667,0
6.00980911258375e-06,3.52310453308746e-05,0,0.0000,0.0000,0.0000,0.0667,0
-2.91047103928577e-06,4.2995441617677e-05,0,0.0000,0.0000,0.0000,0.0667,0
4.75218030260294e-06,2.24919695028802e-05,0,0.0000,0.0000,0.0000,0.0667,0
-1.04738091977197e-06,2.20733491005376e-05,0,0.0000,0.0000,0.1000,0.0667,0
-2.60483579950233e-06,2.70983891823562e-05,0,0.0000,0.0000,0.1000,0.0667,0
-1.00228453447926e-05,4.80147900816519e-05,0,0.0000,0.0000,0.1000,0.0667,0
7.90310787124326e-06,2.63984256889671e-05,0,0.0000,0.0000,0.1000,0.0667,0
1.25907160963834e-06,3.95152637793217e-05,0,0.0000,0.0000,0.1000,0.0667,0
1.59394494403386e-05,2.78249299299205e-05,0,0.0000,0.2000,0.1000,0.0667,0
2.32021047850139e-05,3.47599598171655e-05,0,0.0000,0.2000,0.1000,0.0667,0
-1.73813277797308e-05,4.75705892313272e-05,0,0.3333,0.2000,0.1000,0.0667,0
-9.60852230491582e-06,2.42078713199589e-05,0,0.3333,0.2000,0.1000,0.0667,0
6.51627533443389e-06,7.91255479271058e-06,0,0.3333,0.2000,0.1000,0.0667,0
-1.20411677926313e-05,4.10060420108493e-05,0,0.0000,0.0000,0.0000,0.0000,0
-6.97177392794401e-06,4.95853455504403e-05,0,0.0000,0.0000,0.0000,0.0000,0
2.40981007664232e-05,-2.61918103205971e-05,0,0.0000,0.0000,0.0000,0.0000,0
3.17533158522565e-05,-4.4435295421863e-05,0,0.0000,0.0000,0.0000,0.0000,0
9.08198489923961e-06,-2.65677808783948e-05,0,0.0000,0.0000,0.0000,0.0000,0
2.11903970921412e-05,-4.35332185588777e-05,0,0.0000,0.0000,0.0000,0.0000,0
2.32833717745962e-05,-2.73952609859407e-05,0,0.0000,0.0000,0.0000,0.0000,0
2.76349328487413e-05,-5.09167148265988e-05,0,0.0000,0.0000,0.0000,0.0000,0
1.63446457008831e-05,1.08936978904239e-06,0,0.0000,0.0000,0.0000,0.0000,0
-3.32162858285301e-06,-3.51382586813997e-05,0,0.0000,0.0000,0.0000,0.0667,0
-2.6873425440499e-07,-2.31125395657727e-05,0,0.0000,0.0000,0.0000,0.1333,0
1.37545575853437e-05,-3.68339824490249e-05,0,0.0000,0.0000,0.0000,0.2000,0
-3.8327318179654e-05,9.67148207564605e-06,0,0.0000,0.0000,0.0000,0.2667,0
1.35740001496742e-05,-5.73496836295817e-05,0,0.0000,0.0000,0.0000,0.3333,0
3.76766438421328e-05,-1.11719473352423e-05,0,0.0000,0.0000,0.1000,0.4000,0
-5.65214713788009e-06,1.81278901436599e-05,0,0.0000,0.0000,0.2000,0.4667,0
3.06738002109341e-06,7.21403830539202e-06,0,0.0000,0.0000,0.3000,0.5333,0
4.06564795412123e-05,5.7209404076275e-06,0,0.0000,0.0000,0.4000,0.5333,0
