tsne_1,tsne_2,cluster_gmm,pivote3,pivote5,pivote10,pivote15
9.20891693567683e-07,3.94494454667438e-05,2,0.0000,0.2000,0.2000,0.2000
-3.32199633703567e-05,4.58761569461785e-05,2,0.0000,0.4000,0.3000,0.2000
9.20891693567683e-07,3.94494454667438e-05,2,0.3333,0.4000,0.3000,0.2000
9.20891693567683e-07,3.94494454667438e-05,2,0.6667,0.4000,0.3000,0.2000
9.20891693567683e-07,3.94494454667438e-05,2,0.6667,0.4000,0.3000,0.2000
-7.61459614295745e-06,-8.12090947874822e-05,2,0.3333,0.2000,0.2000,0.2000
-7.61459614295745e-06,-8.12090947874822e-05,2,0.0000,0.2000,0.1000,0.2000
1.69472896232037e-05,5.51339726371225e-05,2,0.0000,0.2000,0.1000,0.2667
2.14827082345437e-06,-3.42104394803755e-05,2,0.3333,0.2000,0.1000,0.3333
-1.54239394589695e-08,-6.54152870538383e-07,2,0.3333,0.2000,0.1000,0.4000
-1.54239394589695e-08,-6.54152870538383e-07,2,0.3333,0.2000,0.2000,0.4667
4.17594710597768e-05,-6.85688646626659e-05,2,0.0000,0.0000,0.2000,0.4000
4.17594710597768e-05,-6.85688646626659e-05,2,0.0000,0.0000,0.3000,0.4000
4.17594710597768e-05,-6.85688646626659e-05,2,0.0000,0.0000,0.4000,0.4000
3.72927715943661e-05,-3.27610287058633e-05,2,0.0000,0.0000,0.5000,0.4000
3.72927715943661e-05,-3.27610287058633e-05,2,0.0000,0.2000,0.6000,0.4000
3.72927715943661e-05,-3.27610287058633e-05,2,0.0000,0.4000,0.6000,0.4000
3.51581620634533e-05,-4.31967600889038e-05,2,0.3333,0.6000,0.6000,0.4667
6.93760011927225e-05,-9.89483887678944e-05,2,0.6667,0.8000,0.6000,0.4667
3.51581620634533e-05,-4.31967600889038e-05,2,1.0000,1.0000,0.6000,0.4667
5.83395667490549e-05,-4.89818303321954e-05,2,1.0000,1.0000,0.5000,0.4000
4.17594710597768e-05,-6.85688646626659e-05,2,1.0000,0.8000,0.4000,0.3333
4.17594710597768e-05,-6.85688646626659e-05,2,1.0000,0.6000,0.4000,0.2667
5.2690982556669e-05,-8.05444797151722e-05,2,0.6667,0.4000,0.3000,0.2000
3.48705252690706e-05,-3.75310919480398e-05,2,0.3333,0.2000,0.2000,0.1333
2.46583858825034e-05,-5.49139440408908e-05,2,0.0000,0.0000,0.1000,0.0667
8.47625560709275e-05,-6.47700608169544e-06,2,0.0000,0.0000,0.1000,0.0667
3.9151589589892e-05,-2.74958165391581e-05,2,0.0000,0.2000,0.1000,0.0667
3.9151589589892e-05,-2.74958165391581e-05,2,0.0000,0.2000,0.1000,0.0667
1.32864288389101e-05,-5.9496313042473e-05,2,0.3333,0.2000,0.1000,0.0667
4.52154599770438e-05,3.54828844137955e-05,2,0.3333,0.2000,0.1000,0.0667
6.70892841299064e-05,-1.32982449940755e-05,2,0.3333,0.2000,0.1000,0.0667
1.88154863280943e-05,-1.4948768694012e-05,2,0.0000,0.0000,0.0000,0.0000
-7.97829852672294e-06,8.85941608430585e-06,2,0.0000,0.0000,0.0000,0.0000
-5.47206727787852e-05,-1.7822382005761e-06,2,0.0000,0.0000,0.0000,0.0000
1.36442176881246e-05,5.50962113265996e-06,2,0.0000,0.0000,0.0000,0.0000
-2.69774373009568e-05,-1.48518465721281e-05,2,0.0000,0.0000,0.0000,0.0000
-6.04073029535357e-05,-4.82301438751165e-05,2,0.0000,0.0000,0.0000,0.0000
-2.69774373009568e-05,-1.48518465721281e-05,2,0.0000,0.0000,0.0000,0.0000
-3.87365844289889e-06,4.80799862998538e-05,2,0.0000,0.0000,0.0000,0.0000
